ABA,ABIA,ABA,0,DIRECT,Aba Hub
ABACHA,ANAMBRA,ONA,+2,FD,Onitsha Hub
ABAGANA,ANAMBRA,ONA,+1,FD,Onitsha Hub
ABAJI,FCT,ABV,+1,FD,Abuja Hub
ABAK,AKWA IBOM,UYO,+1,FC,Uyo Hub
ABAKALIKI,EBONYI,AKK,0,DIRECT,Enugu Hub
ABAKPA,KADUNA,KAD,0,DIRECT,Kaduna Hub
ABAKPA NIKE,ENUGU,ENU,0,DIRECT,Enugu Hub
ABALA,ABIA,ABA,+1,FD,Aba Hub
ABATATE,ANAMBRA,ONA,+1,FD,Onitsha Hub
ABAVAIN,BAYELSA,YEN,+2,FE,PH Hub
ABAVO,DELTA,WRI,+1,FC,Warri Hub
ABBA,ANAMBRA,ONA,+1,FC,Onitsha Hub
ABBI,DELTA,WRI,+2,FH,Warri Hub
ABEJUKOLO,KOGI,LKJ,+3,FH,
ABEOKUTA,OGUN,ABK,0,DIRECT,Abeokuta Hub
ABI,CROSS RIVER,CBQ,+2,FZ2,Calabar Hub
ABIJO,LAGOS,LAS,+1,FE,Lagos Hub
ABIRIBA,ABIA,ABA,+1,FD,Aba Hub
ABO MBAISE,IMO,ORI,+1,FC,Owerri Hub
ABONEMA,RIVERS,PHC,+1,FE,PH Hub
ABOR,ENUGU,ENU,+1,FE,Enugu Hub
ABRAKA,DELTA,WRI,+1,FC,Warri Hub
ABUA/ODUAL,RIVERS,PHC,+1,FE,PH Hub
ABUDU,EDO,BNI,+1,FD,Benin Hub
ABUGI,FCT,ABV,+1,FD,Abuja Hub
ABUJA,FCT,ABV,0,DIRECT,Abuja Hub
ABULE EGBA,LAGOS,LOS,0,DIRECT,Lagos Hub
ABUMET/ KADO,FCT,ABV,0,DIRECT,Abuja Hub
ACHA,ABIA,ABA,+1,FD,Aba Hub
ACHALLA,ANAMBRA,ONA,+1,FD,Onitsha Hub
ACHI,ENUGU,ENU,+1,FG,Enugu Hub
ACHIDA,SOKOTO,SKO,+1,FD,Sokoto Hub
ACHINA,ANAMBRA,ONA,+1,FD,Onitsha Hub
ADA,OSUN,OSG,0,FD,Osogbo Hub
ADAGBABIRI,BAYELSA,YEN,+2,FJ,PH Hub
ADANI,ENUGU,ENU,+1,FH,Enugu Hub
ADAZI-ANI,ANAMBRA,ONA,+1,FB,Onitsha Hub
ADAZI-ENU,ANAMBRA,ONA,+1,FB,Onitsha Hub
ADAZI-NUKWU,ANAMBRA,ONA,+1,FB,Onitsha Hub
ADEKUNLE,LAGOS,LOS,0,DIRECT,Lagos Hub
ADO,LAGOS,LAS,0,FC,Lagos Hub
ADO AWAYE,OYO,IBA,+1,FE,Ibadan Hub
ADO-EKITI,ONDO,AKR,0,DIRECT,Akure Hub
ADOGI,NASARAWA,LAF,0,FB,Abuja Hub
ADOGO,KOGI,LKJ,+3,FH,
ADOMOJO,LAGOS,LAS,+1,FZ2,Lagos Hub
ADO-ODO,OGUN,ABK,+1,FD,Abeokuta Hub
ADUDU,NASARAWA,LAF,+1,FC,Abuja Hub
ADUNU,NIGER,MNA,+1,FE,Minna Hub
AFAHA NSIT,AKWA IBOM,UYO,+1,FD,Uyo Hub
AFAM,RIVERS,PHC,+1,FD,PH Hub
AFARA,ABIA,ABA,0,DIRECT,Aba Hub
AFFA,ENUGU,ENU,+1,FG,Enugu Hub
AFIKPO,EBONYI,AKK,+1,FE,Enugu Hub
AFUGIRI,ABIA,ABA,+1,FA,Aba Hub
AFUZE,EDO,BNI,+2,FG,Benin Hub
AGAIE,NIGER,MNA,+1,FE,Minna Hub
AGAWARA,NIGER,MNA,+2,FF,Minna Hub
AGBADO-EKITI,ONDO,AKR,+3,FE,Akure Hub
AGBALA,IMO,ORI,0,FB,Owerri Hub
AGBANI ROAD,ENUGU,ENU,0,DIRECT,Enugu Hub
AGBANI TOWN,ENUGU,ENU,+1,FD,Enugu Hub
AGBARA,OGUN,ABK,0,DIRECT,Abeokuta Hub
AGBARA OTOR,DELTA,WRI,+1,FC,Warri Hub
AGBARHO,DELTA,WRI,+1,FA,Warri Hub
AGBEDE,EDO,BNI,+2,FE,Benin Hub
AGBOR,DELTA,WRI,+1,FE,Warri Hub
AGBOWA,LAGOS,LAS,+1,FZ2,Lagos Hub
AGEGE,LAGOS,LOS,0,DIRECT,Lagos Hub
