Name of Company,Account no (obitrax generated),Phone number,Address,Company City,Company State,Primary contact first name,Primary contact last name,Primary contact phone number,Email address
SEAMDEALS - (KARTEL ONYEKACHI CHIDIAGBA)                                                                                                                                                                ,1200000175,08000000000,,ABA                                     ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
PURIBAS TABLE WATER - (NWANKWO CHIJIOKE VINCENT)                                                                                                                                                        ,1200000176,07034936747         ,"235,UmuochamRoad,C/OBritict,FirstFl.Aba-AbiaState",ABA                                     ,ABIA,VINCENT                       ,NWANKWO                       ,'08000000000,cjsmack@ymail.com                                                                                                                                                                                       
ONYX AND THE PRECIOUS STONES - (AMOBI NWANAGU)                                                                                                                                                          ,1200000177,08038737646         ,"9,UkwuluStreet,ByNigerStone,",ABA                                     ,ABIA,AMOBI                         ,NWANAGU                       ,'08000000000,onyxstone@gmail.com                                                                                                                                                                                     
LEO ELECTRONICS NIG. LTD - (IWUCHUKWU LOUIS O.)                                                                                                                                                         ,1200000228,07085543158         ,"1,ChibuikeStreet,",ABA                                     ,ABIA,LOUIS O.                      ,IWUCHUKWU                     ,'08000000000,LEOELECTRONICNG@GMAIL.COM                                                                                                                                                                               
THE BEZALEELIAN - (MMUOMA CHINONSO)                                                                                                                                                                     ,1200000283,08037426449         ,"Et121,ShoppingCentre,Aba",ABA                                     ,ABIA,CHINONSO                      ,MMUOMA                        ,'08000000000,BEZALEELIAN@GMAIL.COM                                                                                                                                                                                   
GREEN REPUBLIC CLOTHING - (OKORJI DANIEL JIDE)                                                                                                                                                          ,1200000311,08037159658         ,"30,ChiefNwaguruStreet,ByOmuomaRoad,",ABA                                     ,ABIA,DANIEL JIDE                   ,OKORJI                        ,'08000000000,DANKORJI@GMAIL.COM                                                                                                                                                                                      
EZENTA CHRISTIAN                                                                                                                                                                                        ,1200000333,08067198333         ,"101,MarketRoad,AbiaState",ABA                                     ,ABIA,CHRISTIAN                     ,EZENTA                        ,07066791766         ,SHARPLINK247@GMAIL.COM                                                                                                                                                                                  
ZENITH INT'L BANK - ABA                                                                                                                                                                                 ,7010020005,'08000000000,"247,FaulksRoad,ByOldPowerLine",ABA                                     ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
FIRST CITY MONUMENT BANK PLC - ABA (ASA RD)                                                                                                                                                             ,7010020006,'08000000000,AbaRoad,ABA                                     ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
UAC RESTAURANTS - ABA                                                                                                                                                                                   ,7010020007,'08000000000,"90,AsaRoad,AbaAbiaState",ABA                                     ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
NIGERIAN BREWERIES PLC - (ABA MALTING PLANT)                                                                                                                                                            ,7010020008,'08000000000,"1,FactoryRoad,Aba",ABA                                     ,ABIA,NB PLC                        ,ABA                           ,08083138911         ,noemailaddress@thiscorporate.com
FIRST CITY MONUMENT BANK PLC - ABA (FAULKS RD)                                                                                                                                                          ,7010020009,082871972           ,"1,FactoryRoad,",ABA                                     ,ABIA,FCMB                          ,ABA                           ,'08000000000,noemailaddress@thiscorporate.com
EQUATOR CAPITAL LIMITED - ABA                                                                                                                                                                           ,7010020010,'08000000000,"161,FaulksRoad,",ABA                                     ,ABIA,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
GRAND CEREALS LIMITED                                                                                                                                                                                   ,7010020012,08034534050         ,Aba,ABA                                     ,ABIA,GRAND CEREALS LTD             ,ABA                           ,'08000000000,INFO@GRANDCEREALS.COM                                                                                                                                                                                   
ECO BANK NIGERIA PLC - ABA (STATION RD BR)                                                                                                                                                              ,7010020013,'08000000000,"8,FactoryRoad,Aba(MdsCompound)",ABA                                     ,ABIA,OCEANIC BANK                  ,ABA                           ,'08000000000,noemailaddress@thiscorporate.com
ECO BANK NIGERIA PLC - ABA (ST. MICHAEL RD BR)                                                                                                                                                          ,7010020014,'08000000000,"2,StationRoad,",ABA                                     ,ABIA,OCEANIC BANK                  ,ST MICHAEL RD BR              ,'08000000000,noemailaddress@thiscorporate.com
ECO BANK NIGERIA PLC - ABA (BRANCH II FAULKS RD)                                                                                                                                                        ,7010020015,082871220           ,"38B,St.MichaelRd",ABA                                     ,ABIA,OCEANIC BANK                  ,"FAULK RD, ABA                 ",'08000000000,noemailaddress@thiscorporate.com
BENON ASSOCIATES LIMITED                                                                                                                                                                                ,7010020017,08033490003         ,"210,FaulksRoad,AbiaState",ABA                                     ,ABIA,ONUOHA                        ,BEN O.                        ,'08000000000,benon101@yahoo.com                                                                                                                                                                                      
FIRST COMPUTERS AND COMMUNICATIONS                                                                                                                                                                      ,7010020018,08033126434         ,"103,OkigweRoad,AbiaState",UMUAHIA                                 ,ABIA,A.C.                          ,OBODOACHI                     ,'08000000000,noemailaddress@thiscorporate.com
UP-TO-DATE SYSTEMS                                                                                                                                                                                      ,7010020019,'08000000000,"119,AzikiweRd,",ABA                                     ,ABIA,OGBONNA                       ,OBIOMA                        ,07057509375         ,noemailaddress@thiscorporate.com
GAMHEJJ - PREDIC INDUSTRIES LIMITED                                                                                                                                                                     ,7010020020,08032581599         ,"86,AzikiweRoad,AbiaState.",ABA                                     ,ABIA,John                          ,O.                            ,08037237649         ,gamhejjpredic@yahoo.com                                                                                                                                                                                 
GEOMETRIC POWER                                                                                                                                                                                         ,7010020021,'08000000000,"63,OldExpressRoad,",ABA                                     ,ABIA,Patricia                      ,Onoro                         ,'08000000000,noemailaddress@thiscorporate.com
LIFE CARE CLINICS LIMITED                                                                                                                                                                               ,7010020022,08034229951         ,"1,GeometricPowerRoad,",ABA                                     ,ABIA,OKOYE                         ,FESTUS O.                     ,'08000000000,info@lifecareclinicsltdaba.com                                                                                                                                                                          
HOTEL TERMINUS COMPLEX LIMITED                                                                                                                                                                          ,7010020023,08069666860         ,Aba,ABA                                     ,ABIA,JAMES                         ,MADUAKO                       ,'08000000000,omaduako@hotmail.com                                                                                                                                                                                    
DIVINE UGO COMMUNICATIONS LTD                                                                                                                                                                           ,7010020024,08068093884         ,"230/246,AzikiweRoad,",ABA                                     ,ABIA,EZEIBEKWE                     ,COLLINS UGOCHUKWU             ,'08000000000,eugocollins@yahoo.com                                                                                                                                                                                   
INDUSTRIAL & GENERAL INS. PLC - ABAKALIKI                                                                                                                                                               ,7070010002,'08000000000,"22,St.Michael'SRd",ABAKALIKI                               ,EBONYI,SAMUEL                        ,SAMUEL                        ,002348033289260     ,noemailaddress@thiscorporate.com
ECO BANK NIGERIA PLC - ABAKALIKI BR                                                                                                                                                                     ,7070010003,00234812900989      ,"3,OkparaStreet,OffWaterWorksRd,",ABAKALIKI                               ,EBONYI,OCEANIC BANK PLC              ,ABAKALIKI                     ,00234812900989      ,noemailaddress@thiscorporate.com
"SWISH ""N"" SWAKY - THE WATCHPLACE                                                                                                                                                                        ",1200000080,07036162427         ,"1C,OgojaRd,",ABEOKUTA                                ,OGUN ,JAHSOLA T.                    ,QUADRI                        ,'08000000000,jayteequeue@yahoo.com                                                                                                                                                                                   
MOYEZ RESOURCE LIMITED - (OLUJIMI METILELU)                                                                                                                                                             ,1200000174,07063667303         ,"OniElectronicsBuildingOpp.GeneralPostOffice,Sapon-OgunState",ABEOKUTA                                ,OGUN ,OLUJIMI                       ,METILELU                      ,'08000000000,jimtex21@gmail.com                                                                                                                                                                                      
S.F.H. GLOBAL FUND                                                                                                                                                                                      ,4040010003,'08000000000,"4,AkinyanStreet,ObasanjoWay,OgunState",ABEOKUTA                                ,OGUN ,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
STARCOMMS PLC - ABEOKUTA                                                                                                                                                                                ,4040010005,'08000000000,Abeokuta,ABEOKUTA                                ,OGUN ,No First Name Available,                              ,'08000000000,noemailaddress@thiscorporate.com
ECO BANK NIGERIA PLC - OMIDA BRANCH                                                                                                                                                                     ,4040010009,039290472           ,OgunState,ABEOKUTA                                ,OGUN ,ECO BANK NIGERIA PLC          ,OMIDA BRANCH                  ,'08000000000,noemailaddress@thiscorporate.com
CRESCENT UNIVERSITY - ABEOKUTA                                                                                                                                                                          ,4040010010,08038171727         ,"75,AwolowoAvenue,Omida-OgunState",ABEOKUTA                                ,OGUN ,BANKOLE                       ,J.A.                          ,'08000000000,adetunji.rukayat@crescent-university.edu.ng                                                                                                                                                             
