,aba hub,abeokuta hub,abuja hub,ado ekiti hub,akure hub,bauchi hub,benin hub,calabar hub,enugu hub,gombe hub,gusau hub,ibadan hub,ilorin hub,jos hub,kaduna hub,kano hub,lagos hub,maiduguri hub,markurdi hub,minna hub,onitsha hub,osogbo hub,owerri hub,ph hub,sokoto hub,uyo hub,warri hub,yola hub
aba hub,CE,NW,NW,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,IA,NW,IA,IA,NW,IA,IA,NW
abeokuta hub,NW,CE,NW,IA,IA,NW,NW,NW,NW,NW,NW,IA,IA,NW,NW,NW,IA,NW,NW,NW,NW,IA,NW,NW,NW,NW,NW,NW
abuja hub,NW,NW,CE,NW,NW,IA,D,D,NW,IA,IA,NW,NW,IA,IA,IA,D,IA,IA,IA,NW,NW,NW,D,IA,D,D,IA
ado ekiti hub,NW,IA,NW,CE,IA,NW,NW,NW,NW,NW,NW,IA,IA,NW,NW,NW,IA,NW,NW,NW,NW,IA,NW,NW,NW,NW,NW,NW
akure hub,NW,IA,NW,IA,CE,NW,NW,NW,NW,NW,NW,IA,IA,NW,NW,NW,IA,NW,NW,NW,NW,IA,NW,NW,NW,NW,NW,NW
bauchi hub,NW,NW,IA,NW,NW,CE,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
benin hub,IA,NW,D,NW,NW,NW,CE,IA,IA,NW,NW,NW,NW,NW,NW,NW,D,NW,NW,NW,IA,NW,IA,IA,NW,IA,IA,NW
calabar hub,IA,NW,D,NW,NW,NW,IA,CE,IA,NW,NW,NW,NW,NW,NW,NW,D,NW,NW,NW,IA,NW,IA,IA,NW,IA,IA,NW
enugu hub,IA,NW,NW,NW,NW,NW,IA,IA,CE,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,IA,NW,IA,IA,NW,IA,IA,NW
gombe hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,CE,IA,NW,NW,IA,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
gusau hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,CE,NW,NW,IA,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
ibadan hub,NW,IA,NW,IA,IA,NW,NW,NW,NW,NW,NW,CE,IA,NW,NW,NW,IA,NW,NW,NW,NW,IA,NW,NW,NW,NW,NW,NW
ilorin hub,NW,IA,NW,IA,IA,NW,NW,NW,NW,NW,NW,IA,CE,NW,NW,NW,IA,NW,NW,NW,NW,IA,NW,NW,NW,NW,NW,NW
jos hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,CE,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
kaduna hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,CE,IA,D,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
kano hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,CE,D,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
lagos hub,NW,IA,D,IA,IA,NW,D,D,NW,NW,NW,IA,IA,NW,D,D,CE,NW,NW,NW,NW,IA,D,D,NW,NW,NW,NW
maiduguri hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,CE,IA,IA,NW,NW,NW,NW,IA,NW,NW,IA
markurdi hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,IA,CE,IA,NW,NW,NW,NW,IA,NW,NW,IA
minna hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,IA,IA,CE,NW,NW,NW,NW,IA,NW,NW,IA
onitsha hub,IA,NW,NW,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,CE,NW,IA,IA,NW,IA,IA,NW
osogbo hub,NW,IA,NW,IA,IA,NW,NW,NW,NW,NW,NW,IA,IA,NW,NW,NW,IA,NW,NW,NW,NW,CE,NW,NW,NW,NW,NW,NW
owerri hub,IA,NW,NW,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,D,NW,NW,NW,IA,NW,CE,IA,NW,IA,IA,NW
ph hub,IA,NW,D,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,D,NW,NW,NW,IA,NW,IA,CE,NW,IA,IA,NW
sokoto hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,CE,NW,NW,IA
uyo hub,IA,NW,D,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,IA,NW,IA,IA,NW,CE,IA,NW
warri hub,IA,NW,D,NW,NW,NW,IA,IA,IA,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,IA,NW,IA,IA,NW,IA,CE,NW
yola hub,NW,NW,IA,NW,NW,IA,NW,NW,NW,IA,IA,NW,NW,IA,IA,IA,NW,IA,IA,IA,NW,NW,NW,NW,IA,NW,NW,CE
